Test ID,easting__N,northing__,GWD (m),L (m),Slope (%),Elevation,Target,CM pred
182,1577615.166,5181561.601,0.370808691,319.1169985,5.465738773,0.909115791,0,TN
15635,1577646.782,5182056.484,1.300895929,211.7704661,0.905948281,1.123009086,0,TN
8292,1577653.879,5182039.92,1.300895929,195.9472498,0.849103987,0.847857535,0,TN
15629,1577685.362,5181809.053,1.788212299,115.7950531,0.45103392,2.044325113,0,FP
183,1577700.888,5181709.124,1.637517214,137.2653476,0.94186604,2.003796577,1,TP
158,1577726.102,5181964.882,1.165642977,73.88508228,2.69928956,0.992153585,0,TN
180,1577730.654,5182267.491,2.121363878,119.745095,1.187781334,1.933610797,0,TN
173,1577742.26,5181913.118,1.288666368,40.6330524,2.766043186,1.191561103,1,TP
161,1577800.299,5182116.623,1.88451457,64.0086416,0.173424989,1.692008376,1,TP
179,1577822.501,5182072.371,1.482129693,3.20872446,3.220947981,1.488146544,1,TP
170,1577822.546,5182279.418,1.809964061,7.098528445,1.904443383,2.104902506,0,TN
184,1577822.546,5182279.418,1.809964061,7.098528445,1.904443383,2.104902506,0,TN
178,1577857.455,5182162.606,1.723188996,7.538969918,0.962259591,1.754743457,1,TP
15767,1577915.893,5182061.727,1.120904207,43.39047416,0.580253124,1.488165259,0,TN
38484,1574896.821,5184684.186,2.418100834,1506.731321,0.892346978,3.392663002,0,FP
25645,1574901.1,5184674,2.418100834,1496.243005,1.016843915,3.367697954,0,FP
38483,1574901.946,5184697.754,2.390335083,1507.054125,1.384756446,3.292109013,0,TN
38482,1574916.013,5184698.251,2.368753433,1489.35313,0.582385719,3.285925388,1,TP
43479,1574917.799,5184631.178,1.611433148,1454.624037,1.832709789,2.914044142,0,TN
26301,1574923.24,5184776.908,1.280091166,1524.680397,1.353169441,2.212277889,1,FN
25647,1574923.8,5184679.5,2.318737507,1469.793515,0.267053276,3.224749565,0,FP
38706,1574936.89,5184749.83,1.516597867,1491.573816,2.303804636,2.307100296,1,FN
34643,1574936.9,5184749.7,1.516597867,1491.485173,2.303804636,2.307100296,1,FN
33251,1574940.56,5184598.722,1.671823025,1410.880415,0.946592093,2.507290602,0,TN
43739,1574944.13,5184810.58,1.274946451,1520.266991,0.142425582,2.129719734,1,FN
38707,1574944.99,5184753.95,1.476430535,1483.922478,1.819276214,2.226715088,1,FN
34644,1574945,5184754,1.476430535,1483.939769,1.819276214,2.226715088,1,FN
34645,1574951.6,5184724.8,1.961728096,1458.742884,2.604229689,2.652082205,1,TP
38708,1574951.67,5184724.8,1.961728096,1458.654985,2.604229689,2.652082205,1,TP
33252,1574953.194,5184614.984,1.540102124,1401.293913,0.9593575,2.598547697,0,TN
43740,1574963.73,5184817.37,1.417785645,1501.037692,0.181400254,2.261754274,1,FN
43738,1574964.33,5184790.79,1.368857861,1482.893283,1.211723089,1.986423016,1,FN
17688,1574970.593,5184787.809,1.368857861,1473.343826,1.211723089,1.952880025,1,FN
17643,1574978.513,5184633.639,1.639913082,1376.920908,1.608679295,2.4586339,0,TN
40731,1574979,5184827,1.417785645,1489.232213,0.515836895,2.259871006,1,FN
40011,1574980.703,5184675.613,2.287996054,1395.079051,1.182376385,3.104908943,1,TP
25663,1574981.26,5184545.62,1.862063408,1336.449127,0.235652626,2.806289196,0,TN
40734,1574982,5184804,1.368857861,1470.093944,0.900339067,2.302582741,1,FN
33312,1574987.054,5184576.794,1.809411287,1340.759494,0.511037529,2.776405573,0,TN
50447,1574988.68,5184813.912,1.381860971,1468.715798,0.515836895,2.212928295,1,FN
25665,1574991.82,5184544.74,1.962589025,1322.103184,0.235652626,2.852240086,0,TN
37962,1574993.569,5184520.844,1.977387667,1311.429266,0.388143659,2.868956327,0,TN
22298,1574997.48,5184643.91,2.087969303,1357.440363,1.883031487,2.848798037,1,FN
22297,1574998.21,5184665.02,2.282222986,1367.229967,0.85599488,3.029010773,1,TP
27710,1574999.618,5184611.825,1.95915246,1339.416577,1.441653967,2.764889956,0,FP
16628,1575001.223,5184720.056,1.623625994,1393.918357,2.76104188,2.313437223,1,FN
17184,1575001.223,5184720.056,1.623625994,1393.918357,2.76104188,2.313437223,1,FN
50446,1575004.159,5184826.297,1.381860971,1458.774653,0.510254562,2.178912878,1,FN
25669,1575005.41,5184728.52,1.623625994,1393.722066,1.354122996,2.29284215,1,FN
6299,1575007.925,5184483.848,1.834730983,1280.704493,1.085586548,2.891213894,0,TN
22299,1575010.33,5184666.17,2.282222986,1352.396634,0.830984652,3.090821028,0,FP
27825,1575018.205,5184505.721,2.104935646,1273.529328,0.407523811,3.009106398,0,TN
43757,1575020.2,5184641.4,2.161094189,1327.0185,2.454272985,2.790168285,0,TN
27823,1575036.537,5184511.786,2.104935646,1251.001162,0.609511912,3.077856541,0,TN
30102,1575037,5184594,1.844150543,1282.722591,0.904006362,2.714781046,0,TN
43758,1575037,5184663.1,2.112471342,1316.885817,1.983669639,2.826687336,0,TN
18962,1575037.102,5184548.164,1.826566577,1263.40104,1.285456777,2.40162015,0,TN
20925,1575037.102,5184548.164,1.826566577,1263.40104,1.285456777,2.40162015,0,TN
29280,1575038,5184601,1.841656923,1284.603583,0.904006362,2.713583231,0,TN
4666,1575043.538,5184623.155,1.564909458,1287.971756,0.196051493,2.345477581,0,TN
25156,1575044,5184685,1.640043378,1320.171921,2.041700363,2.29714942,0,TN
4434,1575062.857,5184794.078,1.507806063,1366.55064,1.425258636,2.194950104,1,FN
43887,1575067.82,5184528.26,1.694537163,1215.184164,1.946568847,2.442593575,0,TN
30104,1575069.94,5184789.54,1.507806063,1354.966532,1.524629593,2.147447824,1,FN
4982,1575072.499,5184474.393,1.577517986,1191.034386,2.644840956,2.617913008,0,TN
28541,1575073.2,5184694.5,1.255047798,1289.245373,1.380753398,2.126682997,0,TN
4984,1575075.446,5184602.703,1.747346997,1236.915884,1.018433571,2.529650688,0,TN
28540,1575077.1,5184689.2,1.255047798,1281.249377,0.781044841,2.170044661,0,TN
25691,1575077.1,5184737.6,1.305158615,1311.291184,0.807624936,2.114336014,1,FN
25692,1575077.4,5184723.4,1.24974227,1301.826036,0.07137078,1.893905759,1,FN
17677,1575077.503,5184704.103,1.255047798,1289.707459,1.380753398,1.837335706,0,TN
43888,1575077.67,5184528.21,1.694537163,1202.108572,0.992008626,2.456794262,0,TN
30108,1575077.87,5184814.25,1.418777227,1363.330594,0.824107468,2.260019302,1,FN
29288,1575079.48,5184646.71,1.57689786,1254.20132,0.218490437,2.382346392,0,TN
43892,1575082.19,5184795.94,1.507806063,1345.018258,1.158615232,2.114774704,1,FN
22350,1575082.28,5184669.77,1.457410336,1263.482263,0.424546152,2.25009203,0,TN
4713,1575085.578,5184791.699,1.507806063,1337.996608,1.158615232,2.134371996,1,FN
29285,1575085.63,5184630.85,1.589925528,1237.957852,0.267730623,2.390904665,0,TN
22351,1575092.75,5184682.03,1.481057048,1257.53678,1.49476254,2.25195694,0,TN
43647,1575096.01,5184717.02,1.487533092,1275.018675,1.498773694,2.168891191,1,FN
39884,1575098.996,5184615.998,1.511327744,1213.220772,1.273044586,2.034265995,0,TN
4981,1575103.396,5184530.722,1.586341858,1169.035545,1.109703779,2.328535557,0,TN
51721,1575105.91,5184706.5,1.246087193,1256.243103,1.285247445,2.061386824,1,FN
4649,1575108.426,5184413.438,0.846886039,1127.154038,0.738023937,1.718924284,0,TN
15984,1575108.426,5184413.438,0.846886039,1127.154038,0.738023937,1.718924284,0,TN
39882,1575111.003,5184554.003,1.368932009,1168.557358,1.184903502,2.153505802,0,TN
25167,1575111.312,5184756.949,1.505043983,1283.075582,0.843724012,2.257682085,1,FN
37112,1575115.12,5184819.58,1.327330112,1324.141574,2.552774429,2.215149403,1,FN
37111,1575116.37,5184785.02,1.308411837,1296.999232,0.761764526,2.087547302,1,FN
38480,1575118.246,5184499.761,1.597990274,1137.893634,0.397090495,2.345124722,0,TN
38479,1575126.095,5184476.245,1.402536869,1119.604897,1.191735744,2.207638979,0,TN
37119,1575127.22,5184632.17,1.550678968,1185.873487,0.634793758,2.353412867,0,TN
